Proj_Date,BOM_Quant
2023-10-01,12.0
2023-10-22,354.0
2023-10-29,38.0
2023-11-05,30.0
2023-11-12,89.0
2023-12-03,8.0
2024-01-28,4.0
2024-03-03,18.0
2024-03-17,201.0
2024-03-24,2.0
2024-03-31,138.0
2024-04-07,256.0
2024-04-28,2.0
2024-05-12,27.0
2024-05-19,34.0
2024-05-26,410.0
2024-06-23,395.0
2024-06-30,2.0
2024-07-07,60.0
2024-07-14,65.0
2024-07-21,212.0
2024-08-04,49.85
2024-08-11,89.0
2024-08-25,183.0
2024-09-01,129.0
2024-09-08,455.0
2024-09-15,56.0
2024-09-22,82.0
2024-09-29,150.0
2024-10-13,156.0
2024-10-27,12.0
2024-11-03,12.0
2024-11-10,83.0
2024-11-17,15.49
2024-11-24,313.0
2024-12-01,100.0
2024-12-08,86.0
2024-12-22,352.0
2025-01-26,82.6
2025-02-02,16.0
2025-02-16,60.0
2025-02-23,73.0
2025-03-02,170.0
2025-03-09,13.0
2025-03-23,5.0
2025-03-30,151.0
2025-04-06,245.0
2025-04-13,79.0
2025-04-20,152.0
2025-04-27,2.0
