Proj_Date,BOM_Quant
2023-09-10,21.0
2023-10-01,4.0
2023-10-08,1.0
2023-10-22,9.0
2023-11-05,10.0
2023-11-12,472.0
2023-11-19,395.0
2023-12-24,4.0
2024-01-07,12.0
2024-01-28,5.0
2024-02-04,214.0
2024-02-11,1.0
2024-03-24,2.0
2024-04-07,100.0
2024-04-14,701.0
2024-04-28,5.0
2024-05-12,17.0
2024-05-19,11.0
2024-05-26,1.0
2024-06-30,1.0
2024-07-28,2.0
2024-08-04,27.0
2024-08-11,10.0
2024-08-25,175.0
2024-09-08,111.0
2024-09-29,1.0
2024-10-13,6.0
2024-10-27,1.0
2024-11-03,1.0
2024-11-17,30.0
2024-11-24,960.0
2025-01-12,300.0
2025-01-26,14.0
2025-02-09,123.0
2025-02-16,55.0
2025-03-09,160.0
2025-03-16,100.0
2025-03-30,35.0
2025-04-13,742.0
2025-04-27,23.0
